code,burmese,score
ad,တ်,270000
ad,က်,220000
ade,ိတ်,270000
ade,ိပ်,245000
ade,ိက်,220000
ae,ယ့်,270000
ae,ဲ့,248705
ae,ယ်,247066
ae,ည့်,244607
ae,ေ့,228197
ae,ေ,224098
ae,ေး,220000
ai,ိုင်,270000
ai,ိုင်း,220000
aim,ိမ်း,270000
aim,ိမ်,245000
aim,ိမ့်,220000
ain,ိန်,270000
ain,ိန်း,270000
ain,ိန့်,259708
ain,ိမ်,226862
ain,ိမ့်,223431
ain,ိမ်း,220000
aing,ိုင်,270000
aing,ိုင်း,220000
aint,ိန့်,270000
aint,ိန်,262959
aint,ိန်း,255917
aint,ိမ့်,234083
aint,ိမ်,227041
aint,ိမ်း,220000
ak,က်,270000
ak,တ်,235468
ak,ဲ့,233539
ak,ပ်,233431
ak,ည့်,226770
ak,ယ့်,220000
ake,ိတ်,270000
ake,ိပ်,245000
ake,ိက်,220000
al,ယ့်,270000
al,ည့်,247536
al,ယ်,246769
al,ဲ့,245908
al,ည်,224305
al,ည်း,220000
am,မ်,270000
am,မ်း,263055
am,မ့်,256109
am,န်,233891
am,ံ,233787
am,န်း,226945
am,ံ့,226841
am,န့်,220000
ame,ိမ်း,270000
ame,ိမ်,245000
ame,ိမ့်,220000
amm,မ်း,270000
amm,မ်,245000
amm,မ့်,220000
amp,မ့်,270000
amp,မ်,245000
amp,မ်း,220000
an,န်,270000
an,န်း,262959
an,န့်,255917
an,ံ,234688
an,မ်,234083
an,ံ့,227647
an,မ်း,227041
an,မ့်,220000
ane,ိမ်း,270000
ane,ိမ်,245000
ane,ိမ့်,220000
ann,န်း,270000
ann,န်,262959
ann,န့်,255917
ann,မ်း,234083
ann,မ်,227041
ann,မ့်,220000
ant,န့်,270000
ant,န်,262858
ant,န်း,255716
ant,မ့်,234284
ant,ံ့,234184
ant,မ်,227142
ant,ံ,227042
ant,မ်း,220000
ap,ပ်,270000
ape,ိတ်,270000
ape,ိပ်,270000
ape,ိက်,220000
at,တ်,270000
at,က်,220020
at,ပ်,220000
ate,ိတ်,270000
ate,ိပ်,245000
ate,ိက်,220000
auk,ောက်,270000
auk,ောင့်,220000
aung,ောင်,270000
aung,ောင်း,270000
aung,ောင့်,220000
aunk,ောင့်,270000
aunk,ောင်,245000
aunk,ောင်း,220000
aunt,ောင့်,270000
aunt,ောင်,245000
aunt,ောင်း,220000
aw,ော,270000
aw,ော်,270000
aw,ော့,220000
ay,ေ,270000
ay,ေး,245000
ay,ေ့,220000
aye,ေ,270000
aye,ေ့,270000
aye,ေး,270000
ayy,ေး,270000
ayy,ေ,245000
ayy,ေ့,220000
ayz,ေ့,270000
ayz,ေ,245000
ayz,ေး,220000
e,ည်,270000
e,ည်း,261913
e,ည့်,253827
e,ီ,228087
e,ိ,220000
ee,ီ,270000
ee,ိ,262874
ee,ည်း,234251
ee,ည်,227126
ee,ည့်,220000
ei,ိုင်,270000
ei,ိုင်း,220000
eik,ိက်,270000
eik,ိတ်,245000
eik,ိပ်,220000
eim,ိမ်း,270000
eim,ိမ်,245000
eim,ိမ့်,220000
ein,ိန်,270000
ein,ိန်း,270000
ein,ိန့်,259637
ein,ိမ်,226909
ein,ိမ့်,223454
ein,ိမ်း,220000
eint,ိမ့်,270000
eint,ိမ်,262957
eint,ိမ်း,255914
eint,ိန့်,234086
eint,ိန်,227043
eint,ိန်း,220000
ek,က်,270000
el,ယ်,270000
el,ယ့်,261438
el,ည်,245685
el,ည်း,245685
el,ည့်,220000
ent,မ့်,270000
ent,မ်,245000
ent,မ်း,220000
ep,ပ်,270000
et,က်,270000
et,တ်,220010
et,ပ်,220000
ey,ီ,270000
ey,ိ,220000
g,ောင်,270000
g,ောင်း,270000
g,ောင့်,220000
gg,ောင်,270000
gg,ောင်း,270000
