code,family_id
ad,18
ad,19
ade,24
ae,4
ae,8
ai,14
aim,28
ain,27
ain,28
aing,14
aint,27
aint,28
ak,4
ak,18
ak,19
ak,20
ake,24
al,4
al,22
am,2
am,3
am,17
ame,28
amm,3
amp,3
an,2
an,3
an,17
ane,28
ann,2
ann,3
ant,2
ant,3
ant,17
ap,20
ape,24
at,18
at,19
at,20
ate,24
auk,10
aung,11
aunk,11
aunt,11
aw,9
ay,8
aye,8
ayy,8
ayz,8
e,5
e,22
ee,5
ee,22
ei,14
eik,24
eim,28
ein,27
ein,28
eint,27
eint,28
ek,18
el,4
el,22
ent,3
ep,20
et,18
et,19
et,20
ey,5
g,11
gg,11
he,22
he,23
hee,23
hie,23
hii,23
hint,23
i,5
ie,5
ii,5
ik,21
ike,13
in,1
in,23
ine,14
inee,14
inn,1
inn,23
int,1
int,23
is,21
iss,21
it,21
ite,13
iz,21
k,4
k,18
k,19
k,20
l,4
l,22
ll,4
mm,2
n,2
n,3
nn,2
nn,3
o,12
oap,25
oe,12
oee,12
oh,12
ok,9
ok,25
oke,25
on,7
one,7
one,26
ong,7
ong,11
onk,7
onk,26
ont,7
ont,26
oo,12
ood,15
ook,15
oop,15
oot,15
op,15
ope,25
or,9
ork,9
ort,9
ot,12
ot,25
ote,25
ou,6
ou,12
ouk,10
ouk,11
oung,11
ounk,11
ount,11
oup,15
out,10
out,11
ow,9
ow,12
owl,11
ox,12
u,6
um,2
um,3
um,17
umm,3
un,2
un,3
unn,3
unt,17
ut,15
utt,15
uu,6
w,9
wae,32
wah,15
wah,33
wahh,33
wak,15
wal,31
war,33
warr,33
wat,15
way,32
wayy,32
we,32
wel,31
wet,15
win,16
wink,16
winn,16
wint,16
wk,15
wl,31
wor,33
wr,33
wrr,33
wut,15
wutt,15
ww,9
wy,32
wyn,16
wynn,16
wyy,32
y,8
yae,4
yae,8
yar,34
yarr,34
yk,13
yke,13
yn,16
yne,14
yo,35
you,36
yr,34
yrr,34
yu,36
yut,15
yy,8
