code,burmese,score,primary_family,source_families,raw_evidence_score
ad,တ်,270000,19,19,83810
ad,က်,220000,19,18,31820
ade,ိတ်,270000,24,24,84760
ade,ိပ်,245000,24,24,74760
ade,ိက်,220000,24,24,64760
ae,ယ့်,270000,4,4,137920
ae,ဲ့,248705,4,4,85960
ae,ယ်,247066,4,4,81960
ae,ည့်,244607,4,4,75960
ae,ေ့,228197,4,8,35920
ae,ေ,224098,4,8,25920
ae,ေး,220000,4,8,15920
ai,ိုင်,270000,14,14,83860
ai,ိုင်း,220000,14,14,73860
aim,ိမ်း,270000,28,28,83720
aim,ိမ်,245000,28,28,73720
aim,ိမ့်,220000,28,28,63720
ain,ိန်,270000,27,27,160460
ain,ိန်း,270000,27,27,160460
ain,ိန့်,259708,27,27,130460
ain,ိမ်,226862,27,28,34720
ain,ိမ့်,223431,27,28,24720
ain,ိမ်း,220000,27,28,14720
aing,ိုင်,270000,14,14,85860
aing,ိုင်း,220000,14,14,75860
aint,ိန့်,270000,27,27,85730
aint,ိန်,262959,27,27,75730
aint,ိန်း,255917,27,27,65730
aint,ိမ့်,234083,27,28,34720
aint,ိမ်,227041,27,28,24720
aint,ိမ်း,220000,27,28,14720
ak,က်,270000,18,18,85820
ak,တ်,235468,18,19,34810
ak,ဲ့,233539,18,4,31960
ak,ပ်,233431,18,20,31800
ak,ည့်,226770,18,4,21960
ak,ယ့်,220000,18,4,11960
ake,ိတ်,270000,24,24,83760
ake,ိပ်,245000,24,24,73760
ake,ိက်,220000,24,24,63760
al,ယ့်,270000,4,4,139920
al,ည့်,247536,4,"4,22",87740
al,ယ်,246769,4,4,85960
al,ဲ့,245908,4,4,83960
al,ည်,224305,4,22,33780
al,ည်း,220000,4,22,23780
am,မ်,270000,3,3,85970
am,မ်း,263055,3,3,75970
am,မ့်,256109,3,3,65970
am,န်,233891,3,2,33980
am,ံ,233787,3,17,33830
am,န်း,226945,3,2,23980
am,ံ့,226841,3,17,23830
am,န့်,220000,3,2,13980
ame,ိမ်း,270000,28,28,85720
ame,ိမ်,245000,28,28,75720
ame,ိမ့်,220000,28,28,65720
amm,မ်း,270000,3,3,85970
amm,မ်,245000,3,3,75970
amm,မ့်,220000,3,3,65970
amp,မ့်,270000,3,3,84970
amp,မ်,245000,3,3,74970
amp,မ်း,220000,3,3,64970
an,န်,270000,2,2,85980
an,န်း,262959,2,2,75980
an,န့်,255917,2,2,65980
an,ံ,234688,2,17,35830
an,မ်,234083,2,3,34970
an,ံ့,227647,2,17,25830
an,မ်း,227041,2,3,24970
an,မ့်,220000,2,3,14970
ane,ိမ်း,270000,28,28,84720
ane,ိမ်,245000,28,28,74720
ane,ိမ့်,220000,28,28,64720
ann,န်း,270000,2,2,85980
ann,န်,262959,2,2,75980
ann,န့်,255917,2,2,65980
ann,မ်း,234083,2,3,34970
ann,မ်,227041,2,3,24970
ann,မ့်,220000,2,3,14970
ant,န့်,270000,2,2,85980
ant,န်,262858,2,2,75980
ant,န်း,255716,2,2,65980
ant,မ့်,234284,2,3,35970
ant,ံ့,234184,2,17,35830
ant,မ်,227142,2,3,25970
ant,ံ,227042,2,17,25830
ant,မ်း,220000,2,3,15970
ap,ပ်,270000,20,20,85800
ape,ိတ်,270000,24,24,158520
ape,ိပ်,270000,24,24,158520
ape,ိက်,220000,24,24,128520
at,တ်,270000,19,19,85810
at,က်,220020,19,18,34820
at,ပ်,220000,19,20,34800
ate,ိတ်,270000,24,24,85760
ate,ိပ်,245000,24,24,75760
ate,ိက်,220000,24,24,65760
auk,ောက်,270000,10,10,83900
auk,ောင့်,220000,10,10,73900
aung,ောင်,320000,11,11,161780
aunk,ောင့်,270000,11,11,82890
aunk,ောင်,245000,11,11,72890
aunk,ောင်း,220000,11,11,62890
aunt,ောင့်,270000,11,11,83890
aunt,ောင်,245000,11,11,73890
aunt,ောင်း,220000,11,11,63890
aw,ော,270000,9,9,161820
aw,ော်,270000,9,9,161820
aw,ော့,220000,9,9,131820
ay,ေ,270000,8,8,232760
ay,ေး,245000,8,8,222760
ay,ေ့,220000,8,8,212760
aye,ေ,270000,8,8,146840
aye,ေ့,270000,8,8,146840
aye,ေး,270000,8,8,146840
ayy,ေး,270000,8,8,85920
ayy,ေ,245000,8,8,75920
ayy,ေ့,220000,8,8,65920
ayz,ေ့,270000,8,8,82920
ayz,ေ,245000,8,8,72920
ayz,ေး,220000,8,8,62920
e,ည်,270000,22,22,85780
e,ည်း,261913,22,22,75780
e,ည့်,253827,22,22,65780
e,ီ,228087,22,5,33950
e,ိ,220000,22,5,23950
ee,ီ,270000,5,5,85950
ee,ိ,262874,5,5,75950
ee,ည်း,234251,5,22,35780
ee,ည်,227126,5,22,25780
ee,ည့်,220000,5,22,15780
ei,ိုင်,270000,14,14,82860
ei,ိုင်း,220000,14,14,72860
eik,ိက်,270000,24,24,85760
eik,ိတ်,245000,24,24,75760
eik,ိပ်,220000,24,24,65760
eim,ိမ်း,270000,28,28,82720
eim,ိမ်,245000,28,28,72720
eim,ိမ့်,220000,28,28,62720
ein,ိန်,270000,27,27,160460
ein,ိန်း,270000,27,27,160460
ein,ိန့်,259637,27,27,130460
ein,ိမ်,226909,27,28,35720
ein,ိမ့်,223454,27,28,25720
ein,ိမ်း,220000,27,28,15720
eint,ိမ့်,270000,28,28,85720
eint,ိမ်,262957,28,28,75720
eint,ိမ်း,255914,28,28,65720
eint,ိန့်,234086,28,27,34730
eint,ိန်,227043,28,27,24730
eint,ိန်း,220000,28,27,14730
ek,က်,270000,18,18,82820
el,ယ်,270000,4,4,84960
el,ယ့်,261438,4,4,74960
el,ည်,245685,4,22,56560
el,ည်း,245685,4,22,56560
el,ည့်,220000,4,22,26560
ent,မ့်,270000,3,3,83970
ent,မ်,245000,3,3,73970
ent,မ်း,220000,3,3,63970
ep,ပ်,270000,20,20,83800
et,က်,270000,18,18,83820
et,တ်,220010,18,19,32810
et,ပ်,220000,18,20,32800
ey,ီ,270000,5,5,81950
ey,ိ,220000,5,5,71950
g,ောင်,320000,11,11,158780
g,ောင်း,280000,11,11,158780
gg,ောင်,280000,11,11,158780
gg,ောင်း,320000,11,11,158780
he,ည်,270000,22,22,160560
he,ည့်,266547,22,22,150560
he,ည်း,263093,22,22,140560
he,ဉ်း,226907,22,23,35770
he,ဉ်,223453,22,23,25770
he,ဉ့်,220000,22,23,15770
hee,ဉ်း,270000,23,23,84770
hee,ဉ်,245000,23,23,74770
hee,ဉ့်,220000,23,23,64770
hie,ဉ့်,270000,23,23,85770
hie,ဉ်,245000,23,23,75770
hie,ဉ်း,220000,23,23,65770
hii,ဉ်း,270000,23,23,83770
hii,ဉ်,245000,23,23,73770
hii,ဉ့်,220000,23,23,63770
hint,ဉ့်,270000,23,23,84770
hint,ဉ်,245000,23,23,74770
hint,ဉ်း,220000,23,23,64770
i,ိ,270000,5,5,85950
i,ီ,220000,5,5,75950
ie,ီ,270000,5,5,82950
ie,ိ,220000,5,5,72950
ii,ီ,270000,5,5,84950
ii,ိ,220000,5,5,74950
ik,စ်,270000,21,21,82790
ike,ိုက်,270000,13,13,84870
in,င်,270000,1,1,85990
in,င်း,262880,1,1,75990
in,င့်,255759,1,1,65990
in,ဉ်,234241,1,23,35770
in,ဉ်း,227120,1,23,25770
in,ဉ့်,220000,1,23,15770
ine,ိုင်,270000,14,14,160720
ine,ိုင်း,270000,14,14,160720
inee,ိုင်း,270000,14,14,83860
inee,ိုင်,220000,14,14,73860
inn,င်း,270000,1,1,85990
inn,င်,262880,1,1,75990
inn,င့်,255759,1,1,65990
inn,ဉ်း,234241,1,23,35770
inn,ဉ်,227120,1,23,25770
inn,ဉ့်,220000,1,23,15770
int,င့်,270000,1,1,85990
int,င်,262880,1,1,75990
int,င်း,255759,1,1,65990
int,ဉ့်,234241,1,23,35770
int,ဉ်,227120,1,23,25770
int,ဉ်း,220000,1,23,15770
is,စ်,270000,21,21,84790
iss,စ်,270000,21,21,81790
it,စ်,270000,21,21,85790
ite,ိုက်,270000,13,13,85870
iz,စ်,270000,21,21,83790
k,ဲ့,270000,4,4,84960
k,ည့်,260682,4,4,74960
k,ယ့်,251364,4,4,64960
k,တ်,220475,4,19,31810
k,က်,220019,4,18,31320
k,ပ်,220000,4,20,31300
l,ယ်,270000,4,4,83960
l,ယ့်,262976,4,4,73960
l,ည်,234049,4,22,32780
l,ည်း,227024,4,22,22780
l,ည့်,220000,4,22,12780
ll,ယ်,270000,4,4,82960
ll,ယ့်,220000,4,4,72960
mm,န်း,270000,2,2,83980
mm,န်,245000,2,2,73980
mm,န့်,220000,2,2,63980
n,န်,270000,2,2,84980
n,န်း,262959,2,2,74980
n,န့်,255917,2,2,64980
n,မ်,234083,2,3,33970
n,မ်း,227041,2,3,23970
n,မ့်,220000,2,3,13970
nn,န်း,270000,2,2,84980
nn,န်,262959,2,2,74980
nn,န့်,255917,2,2,64980
nn,မ်း,234083,2,3,33970
nn,မ်,227041,2,3,23970
nn,မ့်,220000,2,3,13970
o,ို,270000,12,12,85880
o,ိုး,245000,12,12,75880
o,ို့,220000,12,12,65880
oap,ုတ်,270000,25,25,155500
oap,ုပ်,270000,25,25,155500
oe,ိုး,270000,12,12,85880
oe,ို,245000,12,12,75880
oe,ို့,220000,12,12,65880
oee,ိုး,270000,12,12,84880
oee,ို,245000,12,12,74880
oee,ို့,220000,12,12,64880
oh,ို,270000,12,12,158760
oh,ို့,245000,12,12,148760
oh,ိုး,220000,12,12,138760
ok,ော့,270000,9,9,83910
ok,ော,261956,9,9,73910
ok,ော်,253912,9,9,63910
ok,ုတ်,228044,9,25,31750
ok,ုပ်,220000,9,25,21750
oke,ုတ်,270000,25,25,157500
oke,ုပ်,270000,25,25,157500
on,ုံ,270000,7,7,84930
on,ုံ့,220000,7,7,74930
one,ုံ,270000,7,7,85930
one,ုံ့,260817,7,7,75930
one,ုန်,247548,7,26,61480
one,ုန်း,247548,7,26,61480
one,ုန့်,220000,7,26,31480
ong,ုံ,270000,7,7,83930
ong,ုံ့,262962,7,7,73930
ong,ောင်,234077,7,11,32890
ong,ောင်း,227038,7,11,22890
ong,ောင့်,220000,7,11,12890
onk,ုံ့,270000,7,7,84930
onk,ုံ,262876,7,7,74930
onk,ုန့်,234247,7,26,34740
onk,ုန်,227124,7,26,24740
onk,ုန်း,220000,7,26,14740
ont,ုံ့,270000,7,7,85930
ont,ုံ,262876,7,7,75930
ont,ုန့်,234247,7,26,35740
ont,ုန်,227124,7,26,25740
ont,ုန်း,220000,7,26,15740
oo,ို,270000,12,12,84880
oo,ိုး,245000,12,12,74880
oo,ို့,220000,12,12,64880
ood,ွတ်,270000,15,15,84850
ood,ွက်,245000,15,15,74850
ood,ွပ်,220000,15,15,64850
ook,ွက်,270000,15,15,145200
ook,ွတ်,270000,15,15,145200
ook,ွပ်,270000,15,15,145200
oop,ွပ်,270000,15,15,85850
oop,ွက်,245000,15,15,75850
oop,ွတ်,220000,15,15,65850
oot,ွတ်,270000,15,15,85850
oot,ွက်,245000,15,15,75850
oot,ွပ်,220000,15,15,65850
op,ွပ်,270000,15,15,82850
op,ွက်,245000,15,15,72850
op,ွတ်,220000,15,15,62850
ope,ုတ်,270000,25,25,160500
ope,ုပ်,270000,25,25,160500
or,ော,270000,9,9,159820
or,ော်,270000,9,9,159820
