myanglish,burmese,frequency
d,ဒီ,90
bl,ဘယ်,90
blo,ဘယ်လို,90
balo,ဘယ်လို,100
ll,လဲ,100
lr,လား,90
lh,လား,80
loh,လို့,100
lote,လုပ်,100
loke,လုပ်,90
lok,လုပ်,80
phyit,ဖြစ်,100
phit,ဖြစ်,90
fik,ဖြစ်,70
pyw,ပြော,90
pyor,ပျော်,90
pr,ပါ,90
par,ပါ,100
p,ပြီ,80
m,မ,90
ma,မ,100
me,မီ,90
ml,မယ်,90
mal,မယ်,100
bu,ဘူး,90
buu,ဘူး,100
naw,နော်,100
nor,နော်,90
pop,ပေါ့,80
pot,ပေါ့,90
pok,ပေါ့,70
ka,က,100
ko,ကို,100
nel,နဲ,80
mha,မှ,100
hmar,မှာ,100
nae,နဲ့,100
ne,နဲ,90
shi,ရှိ,100
sr,စာ,90
srr,စား,100
sis,စစ်,100
tw,တော်,80
thwar,သွား,100
lar,လာ,100
pyan,ပြန်,100
yite,ရိုက်,100
yike,ရိုက်,90
yit,ရစ်,90
sar,စား,100
sar,ဆား,80
sa,စ,100
sa,ဆ,80
tagl,တကယ်,90
htl,ထဲ,90
tr,တာ,100
dl,တယ်,100
twl,တွဲ,90
tot,တော့,100
tkl,တကယ်,100
tgl,တကယ်,95
byr,ဗျာ,100
br,ဘာ,100
brr,ဘား,90
hr,ဟာ,100
hrr,ဟား,90
hel,ဟယ်,100
kwr,ကွာ,100
kwl,ကွယ်,90
kyama,ကျမ,100
kyar,ကြာ,100
kyr,ကြ,90
kyi,ကြည့်,100
gyi,ကြီး,100
gyee,ကြီး,90
lone,လုံး,100
lon,လွန်,90
ya,ရ,100
yae,ရဲ့,100
pls,ပလိ့,90
plz,ပလိ့,100
thz,ကျေးဇူး,100
sike,စိုက်,100
gayu,ဂရု,100
chik,ချစ်,100
lwn,လွမ်း,100
aww,အော်,100
hehe,ဟီးဟီး,100
lol,lol,100
kk,အိုကေ,90
ok,အိုကေ,100
tl,တယ်,100
ay,အေး,100
ayy,အေး,95
aye,အေး,100
yar,ရာ,90
achain,အချိန်,100
a,အ,100
ny,နေ,100
thy,သေး,100
thay,သေး,100
pyaw,ပြော,120
thone,သုံး,120
pl,ပဲ,100
pal,ပဲ,100
pe,ပဲ,100
bl,ပဲ,100
bal,ပဲ,100
be,ပဲ,100
sin,ဆင်,100
so,ဆို,100
so,စို,90
myan,မြန်,100
thy,သေ,50
thay,သေ,50
pee,ပြီး,100
phik,ဖြစ်,100
hnike,နှိုက်,100
hnike,၌,90
hnite,နှိုက်,100
hnite,၌,90
aww,ဪ,100
aww,ဩ,90
a,အေ,90
a,ဧ,80
ywae,ရွေ့,100
ywae,၍,90
ei,အိ,100
ei,၏,90
ei,ဣ,80
ei,ဤ,70
e,အီး,100
e,ဤ,90
e,အီ,80
tha,သ,100
tha,ဿ,90
na,န,100
na,ဏ,90
lagong,၎င်း,100
lagoung,၎င်း,100
lagaung,၎င်း,100
lakoung,၎င်း,100
lakaung,၎င်း,100
nya,ည,100
nya,ဉ,90
la,လ,100
la,ဠ,90
hta,ထ,100
hta,ဌ,90
u,အူး,100
u,အုန်း,90
u,အုံး,80
u,ဦး,70
u,ဦ,60
ou,အူး,100
ou,အုန်း,90
ou,အုံး,80
ou,ဦး,70
ou,ဦ,60
oo,အူး,100
oo,အုန်း,90
oo,အုံး,80
oo,ဦး,70
oo,ဦ,60
leinmar,လိမ္မာ,100
lainmar,လိမ္မာ,100
leinmaw,လိမ္မော်,100
lainmaw,လိမ္မော်,100
eaindray,အိန္ဒြေ,100
thingyan,သင်္ကြန်,100
htun,ထွန်း,100
kya,ကြ,100
kya,ကျ,90
mya,မြ,100
mya,မျ,90
pya,ပြ,100
pya,ပျ,90
vu,ဘူး,100
vuu,ဘူး,100
youk,ရောက်,120
mr,မှာ,120
english,အင်္ဂလိပ်,120
chin,ခြင်း,120
kg,ကောင်း,120
aae,အဲ့,70
aal,အဲလ်,70
aan,အဲန်း,70
aant,အံ့,70
ae,အဲ,70
aeh,အဲမ်,70
aein,အိမ်,70
aeinda,အိန္ထ,70
aeindar,အိန္တာ,70
aeindra,အိန္ဒြာ,70
aeindray,အိန္ဒြေ,70
aeindu,အိန္ဓု,70
aeindya,အိန္ဒြ,70
aeinkha,အိင်္ခ,70
aeinmar,အိန္မာ,70
aeinn,အိဏ်း,70
aeinni,အိန္နီ,70
aeint,အိမ့်,70
aeinvar,အိမ္ဗာ,70
agga,အဂ္ဂ,70
aggar,အဂ္ဂါ,70
ah,အာ,70
ahkha,အက္ခ,70
aike,အိုက်,70
ain,အဲင်း,70
aine,အိုင်း,70
al,အဲ,70
all,အောလ်,70
ama,အမ္မ,70
an,အဲင်န်,70
ang,အောင်,70
ann,အမ်း,70
anna,အဏ္ဏ,70
aoung,အောင်း,70
app,အပ်,70
appa,အပ္ပ,70
ar,အာ,70
arl,လဲ,70
arn,အံ,70
arnt,အံ့,70
arr,အား,70
au,အု,70
aular,အူလ္လာ,70
aun,အန်,70
aung,အောင်,70
auu,အူရ်,70
aw,ဩ,70
awan,အွမ်,70
awn,အွန်,70
awwn,အောန်,70
ayi,ဧည့်,70
azu,အဉ္ဇူ,70
ba,ဘ,70
bae,ဗဲလ်,70
bai,ပယ်,70
bak,ဘက်,70
bal,ပယ်,70
ban,ဘန်း,70
bant,ဘန့်,70
batt,ဘတ်,70
baw,ဘော်,70
bawm,ဘောမ်,70
bay,ဘေ,70
baye,ဘေး,70
be,ဘီ,70
bei,ပယ်,70
bel,ဘယ်လ်,70
bell,ဘဲလ်,70
ber,ဘာ,70
bert,ဘတ်,70
