myanglish,burmese,frequency
ya,ရ,20000
pyi,ပြီ,20000
pyi,ပျီ,19000
pyi,ပြီး,18000
pyi,ပီ,17000
pyi,ပီး,16000
paung,ပေါင်,20000
paung,ပေါင်း,19000
paung,ပေါင့်,18000
aung,အောင်,20000
ag,အောင်,19000
mg,မောင်,20000
sin,ဆင်,20000
lwl,လွဲ,23000
lwal,လွဲ,23000
lwel,လွဲ,23000
yin,ရင်,24000
yin,ရင်း,23000
yin,ယင်,22000
kel,ကဲ,23000
kal,ကဲ,23000
kl,ကဲ,23000
sai,ဆိုင်,24000
sai,စိုင်,23000
sai,စိုင်း,22000
sai,ဆိုင်း,21000
sine,ဆိုင်,24000
sine,စိုင်,23000
sine,စိုင်း,22000
sine,ဆိုင်း,21000
kyanw,ကျွန်တော်,25000
kyanaw,ကျွန်တော်,25000
kyontaw,ကျွန်တော်,25000
kyontw,ကျွန်တော်,25000
kyama,ကျွန်မ,25000
kyonma,ကျွန်တော်,25000
koko,ကိုကို,25000
sakalone,စကားလုံး,25000
zakalone,စကားလုံး,25000
sagalone,စကားလုံး,25000
zagalone,စကားလုံး,25000
akkhaya,အက္ခရာ,25000
akkhayar,အက္ခရာ,25000
akhayar,အက္ခရာ,25000
atkhayar,အက္ခရာ,25000
