myanglish,burmese,frequency
d,ဒီ,90
da,ဒါ,100
di,ဒီ,100
bl,ဘယ်,90
blo,ဘယ်လို,90
balo,ဘယ်လို,100
ll,လဲ,100
lr,လား,90
lh,လား,80
loh,လို့,100
lote,လုပ်,100
loke,လုပ်,90
lok,လုပ်,80
phyit,ဖြစ်,100
phit,ဖြစ်,90
fik,ဖြစ်,70
pyw,ပြော,90
pyor,ပျော်,90
pr,ပါ,90
par,ပါ,100
p,ပြီ,80
m,မ,90
ma,မ,100
me,မီ,90
ml,မယ်,90
mal,မယ်,100
bu,ဘူး,90
buu,ဘူး,100
naw,နော်,100
nor,နော်,90
pop,ပေါ့,80
pot,ပေါ့,90
pok,ပေါ့,70
ka,က,100
ko,ကို,100
nel,နဲ,80
mha,မှ,100
hmar,မှာ,100
nae,နဲ့,100
ne,နဲ,90
shi,ရှိ,100
sr,စာ,90
srr,စား,100
sis,စစ်,100
twr,သွား,90
tw,တော်,80
thwar,သွား,100
lar,လာ,100
pyan,ပြန်,100
yite,ရိုက်,100
yike,ရိုက်,90
yit,ရစ်,90
sar,စား,100
sar,ဆား,80
sa,စ,100
sa,ဆ,80
tagl,တကယ်,90
htl,ထဲ,90
tr,တာ,100
dl,တယ်,100
twl,တွဲ,90
tot,တော့,100
tkl,တကယ်,100
tgl,တကယ်,95
byr,ဗျာ,100
br,ဘာ,100
brr,ဘား,90
hr,ဟာ,100
hrr,ဟား,90
hel,ဟယ်,100
kwr,ကွာ,100
kwl,ကွယ်,90
kyama,ကျမ,100
kyar,ကြာ,100
kyr,ကြ,90
kyi,ကြည့်,100
gyi,ကြီး,100
gyee,ကြီး,90
lone,လုံး,100
lon,လွန်,90
ya,ရ,100
yae,ရဲ့,100
pls,ပလိ့,90
plz,ပလိ့,100
thz,ကျေးဇူး,100
sike,စိုက်,100
gayu,ဂရု,100
chik,ချစ်,100
lwn,လွမ်း,100
aww,အော်,100
hehe,ဟီးဟီး,100
lol,lol,100
kk,အိုကေ,90
ok,အိုကေ,100
b,ဘီ,80
tl,တယ်,100
ay,အေး,100
ayy,အေး,95
aye,အေး,100
yar,ရာ,90
achain,အချိန်,100
a,အ,100
ny,နေ,100
