roman,burmese,rank,source
a,ဧ,70,forward
aae,အဲ့,70,forward
aal,အဲလ်,70,forward
aan,အဲန်း,70,forward
aant,အံ့,70,forward
ae,အဲ,70,forward
aeh,အဲမ်,70,forward
aein,အိမ်,70,forward
aeinda,အိန္ထ,70,forward
aeindar,အိန္တာ,70,forward
aeindra,အိန္ဒြာ,70,forward
aeindray,အိန္ဒြေ,70,forward
aeindu,အိန္ဓု,70,forward
aeindya,အိန္ဒြ,70,forward
aeinkha,အိင်္ခ,70,forward
aeinmar,အိန္မာ,70,forward
aeinn,အိဏ်း,70,forward
aeinni,အိန္နီ,70,forward
aeint,အိမ့်,70,forward
aeinvar,အိမ္ဗာ,70,forward
agga,အဂ္ဂ,70,forward
aggar,အဂ္ဂါ,70,forward
ah,အာ,70,forward
ahkha,အက္ခ,70,forward
aike,အိုက်,70,forward
ain,အဲင်း,70,forward
aine,အိုင်း,70,forward
al,အဲ,70,forward
all,အောလ်,70,forward
ama,အမ္မ,70,forward
an,အဲင်န်,70,forward
ang,အောင်,70,forward
ann,အမ်း,70,forward
anna,အဏ္ဏ,70,forward
aoung,အောင်း,70,forward
app,အပ်,70,forward
appa,အပ္ပ,70,forward
ar,အာ,70,forward
arl,လဲ,70,forward
arn,အံ,70,forward
arnt,အံ့,70,forward
arr,အား,70,forward
au,အု,70,forward
aular,အူလ္လာ,70,forward
aun,အန်,70,forward
aung,အောင်,70,forward
auu,အူရ်,70,forward
aw,ဩ,70,forward
awan,အွမ်,70,forward
awn,အွန်,70,forward
aww,ဩ,70,forward
awwn,အောန်,70,forward
aye,အေး,70,forward
ayi,ဧည့်,70,forward
azu,အဉ္ဇူ,70,forward
b,ဘ,70,forward
ba,ဘ,70,forward
bae,ဗဲလ်,70,forward
bai,ပယ်,70,forward
bak,ဘက်,70,forward
bal,ပယ်,70,forward
ban,ဘန်း,70,forward
bant,ဘန့်,70,forward
bar,ဘာ,70,forward
batt,ဘတ်,70,forward
baw,ဘော်,70,forward
bawm,ဘောမ်,70,forward
bay,ဘေ,70,forward
baye,ဘေး,70,forward
be,ဘီ,70,forward
bei,ပယ်,70,forward
bel,ဘယ်လ်,70,forward
bell,ဘဲလ်,70,forward
ber,ဘာ,70,forward
bert,ဘတ်,70,forward
bett,ဘက်,70,forward
bhone,ဘုန်း,70,forward
bhwar,ဘွား,70,forward
bi,ဘီ,70,forward
bie,ဘီ,70,forward
bin,ဘင်,70,forward
bine,ဗိုင်း,70,forward
binn,ဘင်း,70,forward
bo,ဘို,70,forward
boh,ဘို့,70,forward
boi,ဘွိုင်,70,forward
bon,ဘုံ,70,forward
bone,ဘုန်း,70,forward
bout,ဘောက်,70,forward
boy,ဘွိုင်,70,forward
bu,ဘူ,70,forward
bue,ဘူး,70,forward
buu,ဘူး,70,forward
bwal,ဘွယ်,70,forward
bwan,ဘွမ်,70,forward
bwar,ဘွား,70,forward
bwe,ဘွဲ့,70,forward
bwel,ဘွယ်,70,forward
bwet,ဘွဲ့,70,forward
bwine,ဘွိုင်,70,forward
by,ဘီ,70,forward
bya,ဗြ,70,forward
byar,ဗျာ,70,forward
byarl,ဗျာလ်,70,forward
byat,ဗျက်,70,forward
byaw,ဗျော,70,forward
byet,ဗျက်,70,forward
c,စီ,70,forward
ca,ကာ,70,forward
car,ကား,70,forward
cci,စီ,70,forward
cel,ခြယ်,70,forward
cem,ဇင်,70,forward
ch,ခ,70,forward
cha,ချ,70,forward
chae,ချဲ့,70,forward
chain,ချိန်,70,forward
chaint,ခြိမ့်,70,forward
chal,ချယ်,70,forward
chan,ချမ်း,70,forward
chane,ချိန်း,70,forward
chann,ချမ်း,70,forward
char,ချာ,70,forward
chard,ချက်စ်,70,forward
charl,ချားလ်,70,forward
chate,ချိတ်,70,forward
chauk,ချောက်,70,forward
chaung,ချောင်,70,forward
chaw,ချော,70,forward
chay,ချေ,70,forward
che,ခြည်,70,forward
chein,ချိန်,70,forward
cheint,ခြိမ့်,70,forward
chel,ချယ်,70,forward
cher,ချယ်,70,forward
chi,ခြည်,70,forward
chin,ချင်း,70,forward
chine,ချိုင်း,70,forward
chinn,ချင်း,70,forward
chit,ချစ်,70,forward
cho,ချို,70,forward
choe,ချိုး,70,forward
chon,ချွန်,70,forward
chone,ချုံး,70,forward
choon,ချွန်း,70,forward
chu,ခြူး,70,forward
chue,ခြူး,70,forward
chun,ချွန်,70,forward
chunn,ချွန်း,70,forward
chuu,ခြူး,70,forward
chway,ခြွေ,70,forward
chwut,ချွတ်,70,forward
chyi,ခြည်,70,forward
ci,စိ,70,forward
cin,စင်,70,forward
co,ကို,70,forward
d,ဒ,70,forward
da,တ,70,forward
daein,ဒိန်း,70,forward
dahmma,ဓမ္မာ,70,forward
dai,ဒိုင်,70,forward
dain,ဒိန်း,70,forward
daing,ဒိုင်,70,forward
daint,ဒိမ့်,70,forward
dam,ဒမ်း,70,forward
dame,ဒိမ်း,70,forward
dan,ဒန်,70,forward
dane,ဒိမ်း,70,forward
dant,ဒန့်,70,forward
dar,တာ,70,forward
date,ဒိတ်,70,forward
datt,ဒတ်,70,forward
dauk,တောက်,70,forward
daung,ဒေါင်,70,forward
daunt,ဒေါင့်,70,forward
dave,ဒေ့ဗ်,70,forward
daw,ဒေါသ်,70,forward
day,ဋေ,70,forward
