burmese,main,variants
ာ,ar,r|er
ား,er,ar|r|rr|arr|err|h|ah|hh
င်,in,im
င့်,int,
င်း,inn,ing|im|imm
န်,an,n|am
န့်,ant,
န်း,an,nn|ann
မ်,an,am|om
မ်း,an,ann|nn|n
ယ်,al,l|ll|el|ae
ယ့်,ae,
ီ,e,i|ii|ie|ee
ီး,ee,ii|ie
ူ,u,uu|ou
ူး,uu,
ေ,ay,
ေး,ayy,ye
ု,u,
ို့,oh,o
ိုး,oe,oee
ော,aw,ww|aww|or
ော့,ork,ort
ော်,yw,ww|yaw|or
ော့်,ort,ork
ောက်,ouk,out
ောင့်,ount,ounk|ound
ောင်,aung,g|oung
ောင်း,aung,oung|g|gg
ိုက်,ite,yke|ike|yk
ိုင်,ai,aine|aing|ine
ိုင့်,ine,aing
ိုင်း,ine,ing|ie
ိန်,ane,ain
ိန့်,aint,
ိန်း,ain,ine
ုန်,one,on|ong
ုန်း,one,ong|ome
က်,ak,at|et|k
တ်,at,ak|et|k
ပ်,ap,ab
စ်,it,ik|is
ွက်,wat,wak|wt|wk
ွတ်,oot,ook|ut|utt|ot|ood
ွပ်,op,ok|ot|oup|ook|oot
ည်,al,el|e|l|ie
ည့်,al,el|e|l|ie
ည်း,el,al|l|ee
ိတ်,ate,ake|ade|ape
ိတ့်,ate,
ိပ်,ape,ate|ake|de
ုတ်,ote,oke|ok|ot|ope
ုပ်,ote,oke|ope
ွင်,win,wing|wng|yn|yin|ywn
ွင့်,wint,wink
ွင်း,win,winn|wyn|wynn|wing|wng|yn|ynn|ying
ံ,an,am|n|m
ံ့,ant,amp
