myanglish,burmese,frequency
thi,သည့်,2200000
ak,အပ်,2200000
at,အပ်,2199000
ap,အပ်,2198000
doh,တို့,2200000
ae,အဲ့,2200000
nga,ငါ့,2200000
ngr,ငါ့,2200000
ta,တစ်,2300000
na,နှစ်,2300000
pyg,ပြောင်,5000000
pyg,ပြောင်း,4900000
pygg,ပြောင်း,5000000
pygg,ပြောင်,4900000
mhr,မှာ,7000000
mhr,မှား,6900000
mhrr,မှား,7000000
mhrr,မှာ,6900000
ppl,ပြီးပြီလား,9000000
ppl,ပီးပီလား,8900000
pp,ပြီးပြီ,9000000
pp,ပီးပီ,8900000
skar,စကား,9000000
sakar,စကား,9000000
zkar,စကား,9000000
zakar,စကား,9000000
blouk,ဘယ်လောက်,9000000
blouk,ဘလောက်,8900000
khonn,ခွန်း,9000000
sayer,ဆရာ,9000000
ayr,အရာ,9000000
hnr,ဏှာ,9000000
kyg,ကြောင့်,9000000
htann,ဌာန်း,9000000
chrr,ခြား,9000000
pyouk,ပျောက်,9000000
pyouk,ပြောက်,8999990
pyout,ပျောက်,9000000
pyout,ပြောက်,8999990
in,အဉ်,9000000
kygg,ကြောင့်,9000000
